time;Sensor Type;v1;v2;v3;Label
1546693587872;3;0.0;0.0;-9.8100004196167;0
1546693587874;5;0.0;0;0;0
1546693588076;3;0.767683744430542;1.0572519302368164;-0.0912618637084961;0
1546693588077;4;0.673292875289917;0.7152000665664673;-0.1799611747264862;0
1546693588078;3;1.3522915840148926;0.838702917098999;-0.13379764556884766;0
1546693588078;4;0.7367950677871704;0.6412464380264282;-0.20774176716804504;0
1546693588080;3;-0.4724874496459961;-0.9869997501373291;-1.202010154724121;0
1546693588080;3;-1.7851396799087524;0.33029985427856445;-0.5296955108642578;0
1546693588082;4;0.3463478088378906;0.3002279996871948;-0.019602924585342407;0
1546693588082;3;-1.8015764951705933;0.22392678260803223;-0.5296955108642578;0
1546693588082;4;0.32794681191444397;0.3202258050441742;-0.01960289478302002;0
1546693588084;3;-1.2629714012145996;0.14014196395874023;-0.4395627975463867;0
1546693588085;4;0.3660789132118225;0.27493420243263245;-0.029584243893623352;0
1546693588198;3;-0.443479061126709;0.8643231391906738;-2.0168681144714355;0
1546693588200;4;0.20273439586162567;-0.062410566955804825;0.18255925178527832;0
1546693588202;3;-0.4308438301086426;0.6784536838531494;-1.9977846145629883;0
1546693588202;4;0.20278334617614746;-0.06736788898706436;0.18073377013206482;0
1546693588203;3;-0.4270899295806885;0.6808233261108398;-1.99778413772583;0
1546693588203;4;0.20240814983844757;-0.06848697364330292;0.18073377013206482;0
1546693588205;4;0.17149782180786133;0.025424323976039886;0.4063495099544525;0
1546693588206;3;-0.43049299716949463;0.6786768436431885;-1.9977846145629883;0
1546693588206;4;0.17136836051940918;0.026282601058483124;0.4063494801521301;0
1546693588209;3;-0.4817847013473511;0.5530579090118408;-1.9908790588378906;0
1546693588209;4;0.1687999963760376;0.022297769784927368;0.4076606333255768;0
1546693588217;3;0.3325355052947998;0.15642595291137695;-2.007174491882324;0
1546693588264;3;0.3823418617248535;0.5031604766845703;-1.4478044509887695;0
1546693588271;3;0.3815011978149414;0.40683722496032715;-1.4425268173217773;0
1546693588272;4;0.16875946521759033;0.01763293147087097;0.40790581703186035;0
1546693588273;4;0.03208710253238678;0.08407749235630035;0.28258535265922546;0
1546693588273;3;0.38035011291503906;0.4079132080078125;-1.4425268173217773;0
